configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,0.28895227756219155
1,1,1,0,1,0,1,0.05998684010639286
10,1,0,1,1,1,0,0.06094403426941936
11,1,0,1,1,1,1,0.0604351985575052
12,0,0,1,1,1,1,0.2899732887419685
13,1,0,1,0,1,1,0.060680279413099
14,0,1,1,1,0,0,0.2910477771059316
15,0,0,1,0,0,1,0.2865821164388757
16,1,1,1,1,0,1,0.06017438675670885
17,0,1,0,1,0,1,0.290966174949408
18,0,1,0,0,1,0,0.2887492301528085
19,0,1,0,0,0,1,0.28444055519915
2,1,0,1,1,0,0,0.060621480901830775
20,1,0,0,0,0,1,0.060615982952632
21,0,0,0,0,0,1,0.2882765400401921
22,1,1,0,1,0,0,0.060437032311416575
23,0,1,1,0,1,0,0.2975038848681
24,1,1,1,1,1,0,0.0603744388656518
25,0,1,1,0,0,1,0.2869247310906559
26,1,1,1,0,0,0,0.060818944219939185
27,0,0,1,0,1,0,0.29638993252366264
28,1,0,0,0,1,0,0.060602225430328886
29,1,1,0,0,1,1,0.059233961187770225
3,1,0,1,0,0,0,0.061312980129828526
4,1,1,1,1,1,1,0.06064516612909024
5,1,0,0,1,1,1,0.060393060163671776
6,1,0,0,1,0,1,0.0605664057978281
7,0,0,0,1,1,1,0.2887181475615858
8,0,0,1,1,0,1,0.2880225849738814
9,0,1,1,1,1,1,0.291925622094184
